,State,Year,Public Two-Year In-District Tuition and Fees,Public Four-Year In-State Tuition and Fees
261,Alabama,2009-10,"$3,227 ","$7,374 "
262,Arkansas,2009-10,"$2,703 ","$6,797 "
263,Arizona,2009-10,"$2,180 ","$7,450 "
264,California,2009-10,$929 ,"$7,445 "
265,Colorado,2009-10,"$3,146 ","$7,127 "
266,Connecticut,2009-10,"$3,637 ","$9,612 "
267,District of Columbia,2009-10,,"$6,104 "
268,Delaware,2009-10,"$3,885 ","$10,244 "
269,Florida,2009-10,"$2,902 ","$4,906 "
270,Georgia,2009-10,"$2,951 ","$5,693 "
271,Hawaii,2009-10,"$2,777 ","$7,545 "
272,Iowa,2009-10,"$4,207 ","$7,629 "
273,Idaho,2009-10,"$2,749 ","$5,554 "
274,Illinois,2009-10,"$3,102 ","$11,833 "
275,Indiana,2009-10,"$3,727 ","$8,688 "
276,Kansas,2009-10,"$2,411 ","$7,175 "
277,Kentucky,2009-10,"$4,273 ","$8,089 "
278,Louisiana,2009-10,"$2,329 ","$4,867 "
279,Massachusetts,2009-10,"$4,878 ","$10,502 "
280,Maryland,2009-10,"$3,858 ","$8,498 "
281,Maine,2009-10,"$3,678 ","$9,712 "
282,Michigan,2009-10,"$2,872 ","$11,095 "
283,Minnesota,2009-10,"$5,387 ","$9,989 "
284,Missouri,2009-10,"$2,933 ","$8,201 "
285,Mississippi,2009-10,"$2,109 ","$5,629 "
286,Montana,2009-10,"$3,385 ","$6,235 "
287,North Carolina,2009-10,"$1,819 ","$5,159 "
288,North Dakota,2009-10,"$4,408 ","$7,201 "
289,Nebraska,2009-10,"$2,608 ","$7,086 "
290,New Hampshire,2009-10,"$6,697 ","$12,589 "
291,New Jersey,2009-10,"$4,313 ","$12,655 "
292,New Mexico,2009-10,"$1,373 ","$5,440 "
293,Nevada,2009-10,"$2,298 ","$5,164 "
294,New York,2009-10,"$4,400 ","$6,525 "
295,Ohio,2009-10,"$3,973 ","$9,667 "
296,Oklahoma,2009-10,"$3,074 ","$6,162 "
297,Oregon,2009-10,"$4,105 ","$7,850 "
298,Pennsylvania,2009-10,"$3,919 ","$12,235 "
299,Puerto Rico,2009-10,,"$2,151 "
300,Rhode Island,2009-10,"$3,837 ","$9,665 "
301,South Carolina,2009-10,"$3,957 ","$10,821 "
302,South Dakota,2009-10,"$4,904 ","$6,855 "
303,Tennessee,2009-10,"$3,377 ","$6,931 "
304,Texas,2009-10,"$1,985 ","$8,330 "
305,Utah,2009-10,"$3,080 ","$5,198 "
306,Virginia,2009-10,"$3,509 ","$9,021 "
307,Vermont,2009-10,"$6,900 ","$13,658 "
308,Washington,2009-10,"$3,584 ","$8,322 "
309,Wisconsin,2009-10,"$3,986 ","$8,149 "
310,West Virginia,2009-10,"$2,992 ","$5,661 "
311,Wyoming,2009-10,"$2,460 ","$4,235 "
312,Alaska,2010-11,,"$5,907 "
313,Alabama,2010-11,"$3,837 ","$8,279 "
314,Arkansas,2010-11,"$2,835 ","$7,078 "
315,Arizona,2010-11,"$2,222 ","$9,067 "
316,California,2010-11,$920 ,"$8,404 "
317,Colorado,2010-11,"$3,505 ","$7,947 "
318,Connecticut,2010-11,"$3,827 ","$10,080 "
319,District of Columbia,2010-11,,"$7,860 "
320,Delaware,2010-11,"$4,013 ","$10,805 "
321,Florida,2010-11,"$3,114 ","$5,652 "
322,Georgia,2010-11,"$3,144 ","$6,593 "
323,Hawaii,2010-11,"$3,043 ","$8,374 "
324,Iowa,2010-11,"$4,392 ","$8,034 "
325,Idaho,2010-11,"$2,868 ","$5,985 "
326,Illinois,2010-11,"$3,380 ","$12,316 "
327,Indiana,2010-11,"$3,864 ","$8,969 "
328,Kansas,2010-11,"$2,561 ","$7,441 "
329,Kentucky,2010-11,"$4,379 ","$8,442 "
330,Louisiana,2010-11,"$2,484 ","$5,314 "
331,Massachusetts,2010-11,"$5,158 ","$10,653 "
332,Maryland,2010-11,"$4,005 ","$8,687 "
333,Maine,2010-11,"$3,660 ","$10,044 "
334,Michigan,2010-11,"$3,025 ","$11,380 "
335,Minnesota,2010-11,"$5,546 ","$10,540 "
336,Missouri,2010-11,"$2,897 ","$8,164 "
337,Mississippi,2010-11,"$2,379 ","$5,944 "
338,Montana,2010-11,"$3,401 ","$6,301 "
339,North Carolina,2010-11,"$1,994 ","$5,977 "
340,North Dakota,2010-11,"$4,357 ","$7,376 "
341,Nebraska,2010-11,"$2,708 ","$7,411 "
342,New Hampshire,2010-11,"$7,041 ","$13,413 "
343,New Jersey,2010-11,"$4,404 ","$13,080 "
344,New Mexico,2010-11,"$1,488 ","$5,758 "
345,Nevada,2010-11,"$2,518 ","$5,971 "
346,New York,2010-11,"$4,447 ","$6,504 "
347,Ohio,2010-11,"$4,190 ","$10,168 "
348,Oklahoma,2010-11,"$3,180 ","$6,456 "
349,Oregon,2010-11,"$4,205 ","$8,347 "
350,Pennsylvania,2010-11,"$3,896 ","$12,723 "
351,Puerto Rico,2010-11,,"$2,862 "
352,Rhode Island,2010-11,"$4,101 ","$10,464 "
353,South Carolina,2010-11,"$4,094 ","$11,299 "
354,South Dakota,2010-11,"$5,148 ","$7,094 "
355,Tennessee,2010-11,"$3,589 ","$7,323 "
356,Texas,2010-11,"$2,086 ","$8,695 "
357,Utah,2010-11,"$3,219 ","$5,520 "
358,Virginia,2010-11,"$4,025 ","$9,891 "
359,Vermont,2010-11,"$7,018 ","$14,006 "
360,Washington,2010-11,"$3,773 ","$9,204 "
361,Wisconsin,2010-11,"$4,068 ","$8,658 "
362,West Virginia,2010-11,"$2,834 ","$5,868 "
